Vivado Simulator 2019.1
Time resolution is 1 ps
WARNING: File reg_init.mem referenced on C:/Users/yashw/RISC-V_PROJECT.srcs/sources_1/new/reg_file.sv at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
==== RISC-V Top Module Testbench Started ====
Time: 810000 | PC=0x00000098 | Inst=0x0020e463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 820000 | PC=0x000000a0 | Inst=0x00117463 | rs1=x2=0x0000000a | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 830000 | PC=0x000000a8 | Inst=0x0080056f | rs1=x0=0x00000000 | rs2=x8=0x00000005 | rd=x10 | alu_op=0000 | alu_result=0x000000ad | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 840000 | PC=0x000000b0 | Inst=0x04000613 | rs1=x0=0x00000000 | rs2=x0=0x00000000 | rd=x12 | alu_op=0000 | alu_result=0x00000040 | MemRW=0 | RegWrite=1 | MemOut=0x00000029
Time: 850000 | PC=0x000000b4 | Inst=0x000606e7 | rs1=x12=0x00000040 | rs2=x0=0x00000000 | rd=x13 | alu_op=0000 | alu_result=0x00000040 | MemRW=0 | RegWrite=1 | MemOut=0x00000029
Time: 860000 | PC=0x00000040 | Inst=0x0010c913 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x18 | alu_op=0101 | alu_result=0x00000004 | MemRW=0 | RegWrite=1 | MemOut=0x000000a3
Time: 870000 | PC=0x00000044 | Inst=0x0020e993 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x19 | alu_op=1000 | alu_result=0x00000007 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 880000 | PC=0x00000048 | Inst=0x0070fa13 | rs1=x1=0x00000005 | rs2=x7=0x0000000a | rd=x20 | alu_op=1001 | alu_result=0x00000005 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 890000 | PC=0x0000004c | Inst=0x00109a93 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x21 | alu_op=1111 | alu_result=0x00000000 | MemRW=0 | RegWrite=1 | MemOut=0x00000001
Time: 900000 | PC=0x00000050 | Inst=0x00125b13 | rs1=x4=0x000000ff | rs2=x1=0x00000005 | rd=x22 | alu_op=0110 | alu_result=0x0000007f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 910000 | PC=0x00000054 | Inst=0x06400f93 | rs1=x0=0x00000000 | rs2=x4=0x000000ff | rd=x31 | alu_op=0000 | alu_result=0x00000064 | MemRW=0 | RegWrite=1 | MemOut=0x0000000f
Time: 920000 | PC=0x00000058 | Inst=0x006fa023 | rs1=x31=0x00000064 | rs2=x6=0x0000000f | rd=x0 | alu_op=0000 | alu_result=0x00000064 | MemRW=1 | RegWrite=0 | MemOut=0x0000000f
Time: 930000 | PC=0x0000005c | Inst=0x007f9223 | rs1=x31=0x00000064 | rs2=x7=0x0000000a | rd=x4 | alu_op=0000 | alu_result=0x00000068 | MemRW=1 | RegWrite=0 | MemOut=0x0000000a
Time: 940000 | PC=0x00000060 | Inst=0x008f8423 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000006c | MemRW=1 | RegWrite=0 | MemOut=0x00000005
Time: 950000 | PC=0x00000064 | Inst=0x000fac03 | rs1=x31=0x00000064 | rs2=x0=0x00000000 | rd=x24 | alu_op=0000 | alu_result=0x00000064 | MemRW=0 | RegWrite=1 | MemOut=0x0000000f
Time: 960000 | PC=0x00000068 | Inst=0x004f9c83 | rs1=x31=0x00000064 | rs2=x4=0x000000ff | rd=x25 | alu_op=0000 | alu_result=0x00000068 | MemRW=0 | RegWrite=1 | MemOut=0x0000000a
Time: 970000 | PC=0x0000006c | Inst=0x004fdd03 | rs1=x31=0x00000064 | rs2=x4=0x000000ff | rd=x26 | alu_op=0000 | alu_result=0x00000068 | MemRW=0 | RegWrite=1 | MemOut=0x0000000a
Time: 980000 | PC=0x00000070 | Inst=0x008f8d83 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x27 | alu_op=0000 | alu_result=0x0000006c | MemRW=0 | RegWrite=1 | MemOut=0x00000005
Time: 990000 | PC=0x00000074 | Inst=0x008fce03 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x28 | alu_op=0000 | alu_result=0x0000006c | MemRW=0 | RegWrite=1 | MemOut=0x00000005
Time: 1000000 | PC=0x00000078 | Inst=0x00108463 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000a | MemRW=0 | RegWrite=0 | MemOut=0x00000000
==== Simulation Ended ====
$finish called at time : 1 us : File "C:/Users/yashw/RISC-V_PROJECT.srcs/sim_1/new/top_tb.sv" Line 62
